name, bipartiteness, ci, fr1, fr2
CLSZ Clusters 0 and 1, 0.4965473649059619, 0.30519164343964095, 0.9515803267076914, 0.8732216419124003
CLSZ Clusters 0 and 2, 0.3340360012045735, 0.1601494808961274, 0.8851738693997279, 0.8337399720438982
CLSZ Clusters 0 and 3, 0.21236843548930634, 0.13096329396011078, 0.8466894729430013, 0.8049267983453902
CLSZ Clusters 0 and 4, 0.4086235453548151, 0.11775156536370966, 0.8951798331260992, 0.8692579182637533
CLSZ Clusters 0 and 5, 0.12126473599444387, 0.04590978529105388, 0.8303115059139525, 0.8092669164536027
CLSZ Clusters 0 and 6, 0.33131609348618146, 0.014502779012313277, 0.8997543835536408, 0.9046914788343622
CLSZ Clusters 0 and 7, 0.4066367750067153, 0.19053855061741873, 0.9291950985873688, 0.9003045575029153
CLSZ Clusters 1 and 2, 0.23365189101260675, 0.08491829890413408, 0.9560472588381989, 0.9639930701923958
CLSZ Clusters 1 and 3, 0.11555025867439529, 0.16592222431297468, 0.904786727057925, 0.9518090854807758
CLSZ Clusters 1 and 4, 0.3022923732054976, 0.30221607687960916, 0.9690666755305516, 0.9895565636733531
CLSZ Clusters 1 and 5, 0.04920449930250216, 0.19939500733766788, 0.8807103311936747, 0.9349492406652556
CLSZ Clusters 1 and 6, 0.1818135411526485, 0.20807286459112462, 0.9347326672644583, 0.9587948387167662
CLSZ Clusters 1 and 7, 0.27641577394092903, 0.06773567057478654, 0.9657175098156449, 0.9608328426941777
CLSZ Clusters 2 and 3, 0.18511783062520176, 0.051185233491576644, 0.8903766337997516, 0.8747600957421708
CLSZ Clusters 2 and 4, 0.4253374264693272, 0.10450060993761895, 0.9296685733666648, 0.9494146292962636
CLSZ Clusters 2 and 5, 0.09039394351511855, 0.008235869385811613, 0.8689393500970577, 0.853332933605186
CLSZ Clusters 2 and 6, 0.270674663823994, 0.1288703593098861, 0.879981772032, 0.9112544345671467
CLSZ Clusters 2 and 7, 0.36903018108651914, 0.08015042528436277, 0.9156758958169724, 0.9057896800246592
CLSZ Clusters 3 and 4, 0.42994202514252655, 0.16889053795084852, 0.8702672748578768, 0.9254042644921452
CLSZ Clusters 3 and 5, 0.11429062746796423, 0.0639290180472866, 0.8075396158174826, 0.8238824555743931
CLSZ Clusters 3 and 6, 0.32513973019635384, 0.0779382004549905, 0.8904018997417618, 0.897998949682232
CLSZ Clusters 3 and 7, 0.4066579860110851, 0.06608286796539156, 0.9135095503793903, 0.8958731336052042
CLSZ Clusters 4 and 5, 0.06516001993610641, 0.07154744768591823, 0.8422752636442496, 0.8682692545449677
CLSZ Clusters 4 and 6, 0.23888774337977556, 0.040679377147743515, 0.92125149456691, 0.9206271217838741
CLSZ Clusters 4 and 7, 0.3587285763582685, 0.22851018425738345, 0.9600013778016746, 0.9247178034018363
CLSZ Clusters 5 and 6, 0.3158098673411158, 0.009763630078793566, 0.8487983240982283, 0.844042746744038
CLSZ Clusters 5 and 7, 0.3993993993993994, 0.17850830794906722, 0.9171852216503085, 0.8657821783549994
CLSZ Clusters 6 and 7, 0.3125888947764732, 0.3094408474307349, 0.9222346548913526, 0.7865658229746472
Diffusion Clusters 0 and 1, 0.41424682395644286, 0.022206672444749078, 0.9908953243493591, 0.9892817186335364
Diffusion Clusters 0 and 2, 0.020019869344010597, 0.01420743632153399, 0.9932364889103061, 0.9936452238367028
Diffusion Clusters 0 and 3, 0.020685396727384994, 0.06597599174199169, 0.9938083911590643, 0.9927915687704181
Diffusion Clusters 0 and 4, 0.01261802010996955, 0.06841267799085246, 0.9941299610375377, 0.9936721796510938
Diffusion Clusters 0 and 5, 0.01301332158978311, 0.030389867182784278, 0.9941888523550229, 0.9942244078712954
Diffusion Clusters 1 and 2, 0.02508426044680407, 0.10502110977694575, 0.9921235463078734, 0.989333179010877
Diffusion Clusters 1 and 3, 0.027492354740061162, 0.09754694954217875, 0.9930186293551425, 0.9907832184615442
Diffusion Clusters 1 and 4, 0.016101307687286494, 0.07981421153825977, 0.9923562414280496, 0.991387817434212
Diffusion Clusters 1 and 5, 0.017233460907599783, 0.09325580271405422, 0.9932967447708407, 0.9914207898784324
Diffusion Clusters 2 and 3, 0.3481236168442861, 0.005514023470788555, 0.9209387825065296, 0.9223792187710586
Diffusion Clusters 2 and 4, 0.25483292625889936, 0.01694405300624353, 0.9065079178313991, 0.9066009393659525
Diffusion Clusters 2 and 5, 0.25481508509473794, 0.008066517087701123, 0.9073069656489725, 0.9066086621890254
Diffusion Clusters 3 and 4, 0.2521899008470681, 0.02670557586120574, 0.9123277549637783, 0.9092279432121819
Diffusion Clusters 3 and 5, 0.25441635599583723, 0.006156363232998202, 0.9107139159494182, 0.9110101715732115
Diffusion Clusters 4 and 5, 0.29495345968375014, 0.01577836615255295, 0.8925576329724549, 0.8952216788060005
